ID	Wörter	Redewendung / Metapher	Originaltext	Zuweisung	staufisch	anti-staufisch	moralisch pos.	moralisch neg.	fol.	Zeile	Kommentar	annotiert
	geizig		tenax	Tankred v. L.		x			98v	99		LB
	klein		brevis	Tankred v. L.		x			98v	99		LB
		glüht vor Leidenschaft	intus ardet	Tankred v. L.		x		x	98v	100		LB
		die Seele ein nichts	anima nichil esse sua	Tankred v. L.		x		x	98v	105		LB
	Aufrührer		rebelles	Tankred v. L.		x		x	98v	106		LB
	Gewalt		vis	Tankred v. L.		x		x	98v	106		LB
	Versprechen		promissio	Tankred v. L.		x			98v	106		LB
	List		dolus	Tankred v. L.		x		x	98v	107		LB
	Versprechen		pollicitum	Tankred v. L.		x		x	98v	108		LB
	Gabe		munus	Tankred v. L.		x			98v	108		LB
	Iskarioth		Scariothis	Matheus v. Salerno		x		x	99v	111		LB
		Wesen des Kaisers	mores Augusti	Heinrich VI.	x			x	99v	120		LB
	Ungestüm		furor	Heinrich VI.	x			x	99v	120		LB
		teutonische Wildheit	teutonica rabies	Heinrich VI.	x			x	99v	121		LB
		barbarische Laute auf barbarische Weise	barbaricos barbarizare sonos	Heinrich VI.	x			x	99v	123		LB
		Ehebrecher im Königshof	incestus in regum aula	Matheus v. Salerno		x		x	99v	126		LB
		verschwenderisch Geld ausgeben	era ducum spargat aperta manus	Tankred v. L.		x		x	99v	127		LB
		den König anklagen	de rege querere	Sibylle v. Medania		x		x	99v	128		LB
		Angeklagter, der richtet	reus alterius acta vindicare	Tankred v. L.		x		x	99v	129		LB
		von rechtmässiger Abstammung	de germine iuso	Tankred v. L.		x	x		99v	130		LB
		von Familie, Volk und jedermann erwünscht	a gente, a populo, ab omne petitus	Tankred v. L.		x	x		99v	131		LB
	übermütig väterlicherseits		superbus patris	Tankred v. L.		x		x	99v	134		LB
	sanftmütig mütterlicherseits		mitior matris	Tankred v. L.		x	x		99v	135		LB
		geringe Bewegung schafft keinen tiefen Zweifel	dubium profundum unda brevis non habet	Tankred v. L.		x	x		99v	136		LB
		kleines Schiff rudern	ratis parva remigare	Tankred v. L.		x	x		99v	137		LB
		die Gesinnung des Bischofs schänden	archa almi patris adulterare	Matheus v. Salerno		x		x	99v	138		LB
	Ehebrecherer		bigamus	Matheus v. Salerno		x			100v	140		LB
		Worte, die er bei Nacht niederschrieb	nocturna nota	Matheus v. Salerno		x		x	100v	141		LB
		Durchbrich das Zögern	rumpe moras	Tankred v. L.		x	x		100v	144		LB
		weder Treue [...] noch Meineide	nec te, si qua fides, nec te periuria tardent	Matheus v. Salerno		x		x	100v	156		LB
		Der Ruhm der Herrschaft legitimiert jedes Mittel	Gloria regnandi cuncta licere facit	Matheus v. Salerno		x		x	100v	157		LB
		sich der Scham des Treuebruchs nicht schämen	pudorem fidei non pudere	Tankred v. L.		x		x	100v	160		LB
		Kindsmord im Dienste des Strebens nach Macht	natum subdere neci	Tankred v. L.		x		x	100v	162		LB
		Zeuge menschlichen Blutes werden	reus hominum sanguinis esse	Matheus v. Salerno		x		x	100v	165		LB
		elendes Gemach seines Geistes	mentis triste cubile suum	Tankred v. L.		x			101v	167		LB
	Scham		pudor	Tankred v. L.		x			101v	168		LB
	Angst		timor	Tankred v. L.		x			101v	168		LB
		Herz wogt im Innern	cor fluctuat intus	Tankred v. L.		x		x	101v	168		LB
		wie ein Knabe	ut puer	Tankred v. L.		x		x	101v	169		LB
		unansehnlicher Körper	corpus exiguus	Tankred v. L.		x		x	101v	172		LB
		Meineid schwören	periuria facere	Tankred v. L.		x		x	101v	180		LB
	Betrug		fraus	Tankred v. L.		x		x	101v	182		LB
	Zwerg		nanus	Tankred v. L.		x		x	101v	183		LB
	Ungeheuer		monstrum	Tankred v. L.		x		x	101v	184		LB
		Verbrechen gegen die Natur	crimen nature	Tankred v. L.		x		x	101v	184		LB
		ein Affe wird gekrönt	coronatur simia	Tankred v. L.		x		x	101v	185		LB
		schändlicher Mensch	turpis homo	Tankred v. L.		x		x	101v	185		LB
	Halbmann		semivir	Tankred v. L.		x		x	101v	187		LB
		mit Zimbeln bekränzter Mime	redimitus cimbala mimus	Tankred v. L.		x		x	101v	190		LB
		der Affe wird hoch zu Ross dahergetragen	alto simia fertur equo	Tankred v. L.		x		x	101v	193		LB
	Iskarioth		Scariothis	Matheus v. Salerno		x		x	101v	196		LB
	Jupiter		Iovis	Heinrich VI.	x		x		101v	198		LB
	Caesar		Cesar	Heinrich VI.	x		x		101v	198		LB
		ein Tag schwärzer als Pech	dies multo pice nigrior esse	Tankred v. L.		x		x	102v	200		LB
		ein Tag zum Vergessen	dies pereat nec commemoretur	Tankred v. L.		x		x	102v	202		LB
		ein Tag, der zur Höllennacht wird	dies noctescat abysso	Tankred v. L.		x		x	102v	204		LB
	Missgeburt		abortivus	Tankred v. L.		x		x	102v	207		LB
		unglücklicher Embryio	Embrion infelix	Tankred v. L.		x		x	102v	208		LB
		je höher du strebst, desto tiefer fällst Du	quam magis petis tam graviora lues	Tankred v. L.		x		x	102v	209		LB
		kleines Atom	brevis athome	Tankred v. L.		x		x	102v	210		LB
		von hinten ein Knabe, von vorne ein Greis	puer a tergo, ab ore senex	Tankred v. L.		x		x	102v	211		LB
		Unverträglichkeit der elterlichen Samen	semina non bene conveniunt	Tankred v. L.		x		x	102v	219		LB
		aus mütterlichem Samen erzeugter Mensch	solo semine matris homo concipitur	Tankred v. L.		x		x	102v	225		LB
		geringes Werk	modicum opus	Tankred v. L.		x		x	102v	227		LB
		vaterlos	patrem nomine, non re habet	Tankred v. L.		x		x	102v	228		LB
		Halbmann	dimidiatus homo	Tankred v. L.		x		x	102v	229		LB
		unglückliche Empfängnis	infelix conceptus	Tankred v. L.		x		x	102v	232		LB
	missgebildet		monstrifer	Tankred v. L.		x		x	102v	233		LB
		ein Affe herrscht	simia regnat	Tankred v. L.		x		x	103v	234		LB
		ein Mensch gleich einer Missgeburt	abortivi corporis instar homo	Tankred v. L.		x		x	103v	235		LB
		heilige Salbung nicht verdienen	sacra unctio non convenire	Tankred v. L.		x		x	103v	236		LB
	Macht (ex negativo)		vis (ex negativo)	Tankred v. L.		x		x	103v	238		LB
	Rechtschaffenheit (ex negativo)		probitas (ex negativo)	Tankred v. L.		x		x	103v	238		LB
	Ruf (ex negativo)		fama (ex negativo)	Tankred v. L.		x		x	103v	238		LB
		nach fremden Besitz streben	non sua semper amans	Tankred v. L.		x		x	103v	239		LB
		arm an Charakter und Lebensführung	moribus et vite pauper	Tankred v. L.		x		x	103v	242		LB
		geringe Kräfte und kleinen Körper	modicas vires et breve corpus habet	Tankred v. L.		x		x	103v	243		LB
		(geringe) Geistesgaben und Hinterlist 	ingenii opes et retia mentis	Tankred v. L.		x		x	103v	244		LB
		eidbrüchige Untreue	periuria fides	Tankred v. L.		x		x	103v	248		LB
		die Segel dem Wasser bei Flaute anvertrauen 	male credis aque vela quiete	Tankred v. L.		x		x	103v	250		LB
		eine Menge, die nicht begrenzt wird	copia que nulla lege numeri coacta est	Tankred v. L.		x		x	103v	252		LB
		listige Schlange	fallax anguis	Tankred v. L.		x		x	103v	258		LB
		elender König	misero rege	Tankred v. L.		x		x	107v	339		JW
	Herr		dominus	Heinrich VI.	x		x		107v	347		JW
		wie das Meer plötzlich brandet	ut mare spumescit subito	Heinrich VI.	x		x		108v	352		JW
		wie die Luft sich verfinstert	nubescit ut aer	Heinrich VI.	x		x		108v	352		JW
		wie ein Schwarm Tauben eine niedrige Eiche besetzt	obsidet ut quercum multa columba brevem	Heinrich VI.	x		x		108v	353		JW
		der Kaiser verdunkelt das Land	confinium Caesar obumbrat	Heinrich VI.	x		x		108v	354		JW
		auf einem schnellen Pferd	in celeri equo	Heinrich VI.	x		x		108v	357		JW
		Nach Art des Löwen euren Kaiser und seine Schafe scheren	more leonis Augustum vestrum tondet et eius oves	Tankred v. L.	x		x		108v	374	Gegen Heinrich VI. und sein Heer aber in Verbindung mit Vergeltung	JW
	Gunst/Ansehen		gratia	Heinrich VI.	x		x		113v	526		MCZ
	Jupiter		Iovis	Heinrich VI.	x		x		113v	529		MCZ
	Ruhm		gloria	Heinrich VI.	x		x		113v	542		MCZ
	Elende		miseranda	Konstanze v. Sizilien		x		x	114v	561		MCZ
	Opfer		hostia	Konstanze v. Sizilien		x		x	114v	568		MCZ
	mächtige Herrin		domina potens	Konstanze v. Sizilien	x		x		114v	579		MCZ
		sprach sie mutig die Feinde von der Fensteröffnung an	hostes alloquitur audacter ab ore fenestre	Konstanze v. Sizilien	x		x		115v	585		MCZ
	Feind		hostis	Tankred v. L.	x			x	115v	613		MCZ
	Verbrechen Tankreds		scelus Tancridinum	Tankred v. L.		x		x	115v	614		MCZ
	Frieden		pax	Konstanze v. Sizilien	x		x		116v	640		MCZ
	goldenes Zeitalter	glückliche Zeit am Ende der Zeit	felix post tempora tempus	Heinrich VI.	x		x		140v	1505	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		im sechsten Zeitalter	Que sextum sexto tempore cernit herum!	Heinrich VI.	x		x		140v	1506	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		glückliche Zeiten unserer Epoche	etatis felicia tempora nostre	Heinrich VI.	x		x		140v	1507	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		saturnische Epoche 	Imperium Cesar solus et unus habet	Heinrich VI.	x		x		140v	1512	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		friedliche Herrschaft des grossen Jupiter	lam redit aurati Saturnia temporis etas	Heinrich VI.	x		x		140v	1513	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		fruchtbar bedarf die Erde weder des Düngers noch der Hacke,	Nec fecunda fimo nec rastris indiget ullis	Heinrich VI.	x		x		140v	1517	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		Der Baum trägt kaum gepflanzt trägt schon neue Früchte.	Vix arbor partus sustinet oma novos.	Heinrich VI.	x		x		140v	1520	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		Weder Rose, noch Veilchen, noch die Lilie, verblühen, wenn sie einmal zu irgendeiner Zeit entsprungen sind	Nec rosa nec viole nec lilia marcescunt, aliquo tempore nata semel.	Heinrich VI.	x		x		140v	1522	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		aus einer Quelle trinken Rind, Löwe, Kranich, Adler, Schwein, Hund, Bär und Eber; dieselben Fluren weiden ab	Uno fonte bibunt, eadem pascuntur et arra	Heinrich VI.	x		x		140v	1530	Heinrich läutet ein neues bibl. Zeitalter ein	DS
		Wie ein Schaf steht der Wolf zwischenden Schafen	ut ovis stat lupus inter oves	Heinrich VI.	x		x		140v	1528	Heinrich läutet ein neues bibl. Zeitalter ein	DS
	Salomon	keiner war glücklicher als er oder erspriesslicher oder so reich seit Salomon	Iam redeunt magni regna quieta Iovis.	Heinrich VI.	x		x		140v	1514	Heinrich wird mit Salomon verglichen	DS
	Schlange	die Schlange hat ihr im Rachen bereitgehaltenes Gift von sich gegeben	Ea felicior ulla, lecior aut locuplex a Salomo ne fuit.	Heinrich VI.	x		x		140v	1524	Tankred wird mit einer Schlange verglichen	DS
	Schierling	Der Schierling ist, traurig über seine Wirkung, verdorrt.	Aruit in vires resta cicutasuas.	Tankred v. L.		x		x	140v	1526	Tankred wird mit einem Schierling verglichen	DS
	Frieden	Es wird niemanden geben, der Kriege beginnt	Evomuit serpens virus sub fauce repostum	Tankred v. L.		x		x	140v	1525	Heinrich wird fortan den Frieden wahren	DS
		Zeiten ewigen Friedens	Non erit in nostris, moveat quibella,diebus;	Heinrich VI.	x		x		140v	1531	Heinrich wird fortan den Frieden wahren	DS
	täuschend	Keine Spuren des alten Verrats 	amodo perpetue tempora pacis erunt.	Heinrich VI.	x		x		140v	1532	Tankred hat Heinrich getäuscht	DS
	irrgeleitet	Wahnsinn Tankreds	Nulla manent hodie veteris vestigia fraudis,	Tankred v. L.		x		x	140v	1533	Tankred war irrgeleitet	DS
	lächerlich	lächerlichen Königs	Qua Tancridinus polluit error humum	Tankred v. L.		x		x	140v	1534	Tankreds Herrschaft war lächerlich 	DS
	alleiniger Herrscher	mein Kaiser wird allein dasein	Ipsaque transibant derisi tempora regis.	Tankred v. L.		x		x	140v	1535	Heinrich ist alleiniger Herrscher 	DS
		Kaiser hat allein das Reich inne	meus augustus solus et unus erit	Heinrich VI.	x		x		140v	1536	Heinrich ist ein erhabener Herrscher 	DS
		ein König für alle	[...] Rex omnibus unus	Heinrich VI.	x		x		140v	1537	Heinrich ist der König aller	DS
	Trinität	eine Sonne, ein Hirte und ein Glaube	Unus sol, unus pastor et una fides.	Heinrich VI.	x		x		140v	1538	Trinität zwischen Gott, König, Glaube	DS
	Herkunft	edler Mutterleib gebar Heinrich	Que nobilis alvus Henricum genuit?	Heinrich VI.	x		x		141v	1539	Heinrich ist hochgeboren	DS
		welch Hause der Knabe geboren	Quave domo genitus fuerit puer, aurea proles?	Heinrich VI.	x		x		141v	1543	Heinrich ist hochgeboren	DS
	vollkommen	Hof ruht auf vierzig Säulen, auf denen das Reich ruht	Quater denis columnis, in quibus imperii tota quiescit humus	Heinrich VI.	x		x		141v	1550	Heinrichs Herrschaft ist bibl. vollkommen	DS
		Wahrer des Rechts und der Gerechtigkeit	Corradus [...]  iuris servator et equi	Konrad v. Querfurt	x		x		141v	1551	Konrad war Wahrer des Rechts im Reich	DS
		er schreibt das Edikt, sammelt die festgesetzten Tribute	Scribens edictum, certa tributa legens.	Konrad v. Querfurt	x		x		141v	1552	Konrad war Wahrer des Rechts im Reich	DS
		schließt die Kanzlei auf, öffnet die Siegel der Welt	Cancellos reserans, mundi signacula solvens,	Konrad v. Querfurt	x		x		141v	1553	Konrad war Wahrer des Rechts im Reich	DS
	bescheiden	Er hat keinen Hunger nach Gold, keinen Durst nach Edelmetall	Nulla fames auri, sitis illi nulla metalli;	Konrad v. Querfurt	x		x		141v	1555	Konrad war bescheiden	DS
	kirchentreu	Er liebt die Kirche	Diligit ecclesiam nec matrem filius odit,	Konrad v. Querfurt	x		x		141v	1557	Konrad war kirchentreu	DS
		Vorkämpfer des Evangeliums	Dux evangelii, iuris aperta manus.	Konrad v. Querfurt	x		x		141v	1558	Konrad war kirchentreu	DS
		Bote und geistlicher Lehrer aller	Angelus inmultos necnon paracletusinornes	Konrad v. Querfurt	x		x		141v	1559	Konrad war kirchentreu	DS
		aus dem Munde des Gesandten spricht Gott	Mittitur, et missi fatur in ore deus.	Konrad v. Querfurt	x		x		141v	1560	Konrad war kirchentreu	DS
	global	alle Freuden der Menschen, die der Erdkreis bietet, hast Du	Delicias hominum,quas habet orbis, habes.	Heinrich VI.	x		x		141v	1572	Heinrichs Herrschaft ist global	DS
	gewalsam [mutig]		vi 	Konrad v. Querfurt	x				121v	783	Konrad ist auf der Seite politisch sehr aktiv. Er schwört seine Ritter ein, sich zu verteidigen [784-800] und addressiert die Bevölkerung capuas [801-808]	NK
		der Kaiser ist fern	Augustus abest	Heinrich VI.	x				121v	793		NK
		die Kaiserin wird gefangengehalten	Augustaque capta tenetur	Konstanze v. Sizilien	x				121v	793		NK
		euer [Bevölkerung Capuas] Tankred	Tancredum Vestrum 	Tankred v. L.		x			121v	804		NK
